pos_tag,core_word_index,features,freq,meaning,symbol,examples
NT,-,"[{""pos_tag"": ""NT""}, {""pos_tag"": ""NT""}]",24803,-,NT|NT,[]
NN,-,"[{""pos_tag"": ""NT""}]",2803,-,NT,[]
NN,1,"[{""pos_tag"": ""JJ""}, {""pos_tag"": ""NN""}]",11533,-,JJ|NN,[]
NN,2,"[{""pos_tag"": ""JJ""}, {""pos_tag"": ""DEG""}, {""pos_tag"": ""NN""}]",1533,-,JJ|DEG|NN,[]
NN,1,"[{""pos_tag"": ""CD""}, {""pos_tag"": ""NN""}]",8020,-,CD|NN,[]
NN,2,"[{""pos_tag"": ""CD""}, {""pos_tag"": ""M""}, {""pos_tag"": ""NN""}]",6935,-,CD|M|NN,[]
NN,1,"[{""pos_tag"": ""DT""}, {""pos_tag"": ""NN""}]",5650,-,DT|NN,[]
NN,2,"[{""pos_tag"": ""DT""}, {""pos_tag"": ""M""}, {""pos_tag"": ""NN""}]",2409,-,DT|M|NN,[]
NN,3,"[{""pos_tag"": ""DT""}, {""pos_tag"": ""CD""}, {""pos_tag"": ""M""}, {""pos_tag"": ""NN""}]",2409,-,DT|CD|M|NN,[]
NN,-,"[{""pos_tag"": ""NN""}, {""pos_tag"": ""DEG""}, {""pos_tag"": ""NN""}]",3387,-,NN|DEG|NN,[]
NN,2,"[{""pos_tag"": ""VV""}, {""pos_tag"": ""DEG""}, {""pos_tag"": ""NN""}]",1764,-,VV|DEG|NN,[打下的江山]
NN,3,"[{""pos_tag"": ""VV""}, {""pos_tag"": ""NN""}, {""pos_tag"": ""DEG""}, {""pos_tag"": ""NN""}]",1764,-,VV|NN|DEG|NN,[描写春天的诗]
NN,2,"[{""pos_tag"": ""JJ""}, {""pos_tag"": ""DEG""}, {""pos_tag"": ""NN""}]",1330,-,JJ|DEG|NN,[]
NN,-,"[{""pos_tag"": ""NN""}, {""pos_tag"": ""CC""}, {""pos_tag"": ""NN""}]",1083,-,NN|CC|NN,[]
JJ,-,"[{""pos_tag"": ""JJ""}, {""pos_tag"": ""JJ""}]",575,-,JJ|JJ,[]
